Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
10/15/22,19176.12,19226.82,18985.49,19071,2728.884877,00:00.0,52193810.36,45748,1348.907163,25799891.82,0
10/16/22,19071.81,19428.84,19064.63,19262.52,3688.035401,00:00.0,70898707.65,53508,1841.382345,35400062.37,0
10/17/22,19260.4,19676.37,19156.2,19552.63,10674.14774,00:00.0,207851976.6,120087,5296.954691,103143666.1,0
10/18/22,19547.7,19705.75,19094.65,19331.69,12613.60344,00:00.0,245418843.5,136464,6235.629598,121328163.2,0
10/19/22,19327.5,19360.9,19064.93,19121.38,8347.65234,00:00.0,160258962.9,98282,4106.180763,78837875.16,0
10/20/22,19124.15,19341.05,18909.3,19045,10230.68728,00:00.0,195712162.9,106347,5151.734698,98562315.41,0
10/21/22,19045.84,19249.99,18664.09,19165.2,10217.65923,00:00.0,194389671.5,96657,5128.905604,97581139.22,0
10/22/22,19165.2,19257.11,19114.62,19205.51,1986.518416,00:00.0,38105717.01,27343,1040.838266,19966615.04,0
10/23/22,19206,19695.3,19078.69,19569.29,5209.672019,00:00.0,101189146,58722,2663.887151,51732927.19,0
10/24/22,19573.01,19601,19151.2,19330,11579.50876,00:00.0,224107966,114756,5805.757158,112363008.8,0
10/25/22,19332.44,20417.49,19241.47,20085.39,16237.35679,00:00.0,322496201.8,158994,8137.58622,161603047,0
10/26/22,20084.79,21022.62,20050,20774.51,24306.77211,00:00.0,501019874.5,216912,12244.38868,252385816,0
10/27/22,20774.51,20877.31,20203.56,20297.09,17470.86974,00:00.0,359929866.1,180550,8661.566847,178475586.5,0
10/28/22,20297.09,20755.98,20015,20598.6,14586.91495,00:00.0,297686072.9,151876,7344.9502,149903501.6,0
10/29/22,20597,21089.07,20560.3,20817.91,9896.324255,00:00.0,205975087.1,108188,5023.212244,104562839.3,0
10/30/22,20819.36,20935,20516.21,20631.58,6776.684562,00:00.0,140423587.3,84041,3355.017122,69527959.63,0
10/31/22,20631.36,20838.64,20240.01,20490.8,10199.25402,00:00.0,209089292.7,131587,5075.092597,104047842.6,0
11/1/22,20489.74,20697.71,20326.57,20478.31,7723.948104,00:00.0,158273563.5,107826,3872.028348,79346618.52,0
11/2/22,20480.96,20803.22,20058.43,20148.22,15894.43152,00:00.0,324975786.5,159954,7928.478632,162131055.3,0
11/3/22,20150.9,20390.55,20035.28,20206.26,8085.824173,00:00.0,163666862.2,115807,4086.738782,82725929.61,0
11/4/22,20205.48,21296.45,20181.15,21146.71,13042.65631,00:00.0,271084597.4,181300,6660.568003,138422049.2,0
11/5/22,21149.15,21479,21083.63,21294.08,5579.673873,00:00.0,119018798.9,75392,2796.301199,59648117.24,0
11/6/22,21295.96,21362.19,20888,20908.79,4145.775756,00:00.0,87816226.61,73898,2013.188127,42646670.4,0
11/7/22,20908.79,21068.6,20396.66,20592.62,8586.007408,00:00.0,178229083.4,134416,4123.156911,85578694.84,0
11/8/22,20593.33,20677.1,17600,18549.79,27123.99245,00:00.0,529981030.6,329888,13371.15636,261434620,0
11/9/22,18546.24,18591.15,15567,15891.72,18665.09028,00:00.0,324480164.4,260935,9217.604943,160468743.5,0
11/10/22,15887.31,18154.76,15727.64,17553.93,16338.16048,00:00.0,278262928.7,243769,8120.560535,138327834.6,0
11/11/22,17555.02,17650,16330.17,17014.2,15261.90005,00:00.0,259920372.5,225699,7704.074256,131222927.6,0
11/12/22,17016.22,17071.83,16595.95,16781.45,5028.330594,00:00.0,84547302.82,82152,2487.50703,41831103.35,0
11/13/22,16777.23,16913.89,16222,16298.53,3445.107379,00:00.0,57045951.67,82000,1676.200625,27768674.34,0
11/14/22,16302.87,17130.04,15790.46,16587.39,6049.590756,00:00.0,98831798.67,148789,3033.791056,49588106.9,0
11/15/22,16587.37,17100,16506.12,16879.54,6351.700156,00:00.0,107013135.2,134792,3095.763635,52162849.01,0
11/16/22,16877.05,16990.6,16367.32,16643.82,5792.937155,00:00.0,96481510.86,103987,2797.16089,46576853.28,0
11/17/22,16647.19,16734.08,16400,16680.75,4747.999455,00:00.0,78856711.54,79009,2368.282165,39335935.01,0
11/18/22,16681.06,16982.5,16531.56,16677,5149.563591,00:00.0,86158046.64,86565,2597.231816,43452038.87,0
11/19/22,16679,16803.36,16526.93,16683.67,2369.321615,00:00.0,39429984.47,48491,1213.132056,20189753.85,0
11/20/22,16682.92,16730.25,16157.5,16257.27,3786.544057,00:00.0,62398998.27,65772,1838.102617,30298704.44,0
11/21/22,16256.79,16278.14,15468.58,15756.6,9618.548119,00:00.0,153514759.5,133182,4712.16075,75224562.37,0
11/22/22,15761.31,16297.27,15599.93,16207,8706.179693,00:00.0,139033482.7,114438,4335.576182,69253910.94,0
11/23/22,16207.89,16701.51,16142.25,16585.23,8278.438976,00:00.0,136346537.1,115546,4149.510227,68342878.85,0
